Results over 1000000000 hours:

Buy @     Sell @                    Misses/Trades    Profit/Kabob/Hour
--------  ----------------------  ---------------  -------------------
lte_10k   over_10k50                     0.536468              140.19
lte_10k   profit_100_and_over10k         0.518324              139.845
lte_10k   over_10k                       0.50934               139.81
lte_10k   profit_200_and_over10k         0.549095              139.145
lte_9950  over_10k50                     0.542425              138.528
lte_9950  profit_100_and_over10k         0.519349              138.127
lte_9950  over_10k                       0.51722               138.092
lte_9950  profit_200_and_over10k         0.538128              138
lte_10k   profit_200                     0.525861              134.825
lte_9950  profit_200                     0.512316              133.271
